All children:
[ , , , , , ,◯] Steps: 2 | Player: Max | Score: -5
[ , , ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , ,◯,◯] Steps: 2 | Player: Max | Score: -5
[◯, , , , ,◯,◯] Steps: 2 | Player: Max | Score: -5
[◯,◯, , , , ,◯] Steps: 2 | Player: Max | Score: -5
[◯,◯, , , ,◯, ] Steps: 2 | Player: Max | Score: -5
[ , , , , ,◯,◯] Steps: 2 | Player: Max | Score: -5
[◯,◯, , , , , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , ,◯, ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , , , ] Steps: 2 | Player: Max | Score: -5
[ , , , , ,◯, ] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, , ,◯] Steps: 2 | Player: Max | Score: -5
[◯, , ,◯, , ,◯] Steps: 2 | Player: Max | Score: -5
[◯,◯, , , , ,◯] Steps: 2 | Player: Max | Score: -5
[◯,◯, ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯, , ,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯,◯, , ] Steps: 2 | Player: Max | Score: -5
[◯, , ,◯,◯, , ] Steps: 2 | Player: Max | Score: -5
[◯,◯, , ,◯, , ] Steps: 2 | Player: Max | Score: -5
[◯,◯, ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯,◯, , ] Steps: 2 | Player: Max | Score: -5
[◯,◯, , , , , ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯,◯,◯, ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , ,◯,◯, ] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, ,◯, ] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯,◯, , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , ,◯, ] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , , , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , , ,◯] Steps: 2 | Player: Max | Score: -5
[◯, , , , , ,◯] Steps: 2 | Player: Max | Score: -5
[◯,◯, , , , , ] Steps: 2 | Player: Max | Score: -5
[ , , , , , ,◯] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , , , ] Steps: 2 | Player: Max | Score: -5
[ , , , , , , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[◯, , ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[◯,◯, , , , , ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯,◯, , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , ,◯, , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ ,◯, , , , , ] Steps: 2 | Player: Max | Score: -5
[ , , , ,◯,◯, ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯, ,◯, ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯,◯, , ] Steps: 2 | Player: Max | Score: -5
[ , , , , ,◯, ] Steps: 2 | Player: Max | Score: -5
[ , , ,◯, , , ] Steps: 2 | Player: Max | Score: -5
[ , , , , , , ] Steps: 2 | Player: Max | Score: -5
[ , , , ,◯,◯,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[ , , , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[ , , , , , ,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , , ,◯,◯,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯, ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , ,◯,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯, ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , ,◯] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , , ,◯] Steps: 3 | Player: Min | Score: 4
[ , , ,◯,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , ,◯,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯,◯, , ] Steps: 3 | Player: Min | Score: 4
[ ,◯, , , ,◯, ] Steps: 3 | Player: Min | Score: 4
[ ,◯, ,◯, , , ] Steps: 3 | Player: Min | Score: 4
